date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2020-10-27,75,83,86,26,99,53,67,100,25500,27180,1680,5250,19140,1110,355,94,150,13530,2020-10-26T22:52:43.000+00:00,2020-10-27T06:25:43.000+00:00,70.34,66,18,-0.11,0.35,17,71,57,100,25,71,95,356,2703,6905,5738,41340,25080,19200,720,60,0,1.4375,0,79,65,78,83,78,100,92,85,68
2020-10-28,80,78,73,95,99,55,94,86,24240,25920,1680,4470,15690,4080,403,94,780,12960,2020-10-27T23:50:38.000+00:00,2020-10-28T07:02:38.000+00:00,74.34,70,23,0.34,0.32,17.875,66,45,100,25,71,74,141,2412,2806,1890,47040,30000,9180,180,0,0,1.25,0,74,75,76,86,80,76,59,87,55
2020-10-29,82,85,86,80,100,64,70,88,25980,27480,1500,5280,17430,3270,394,95,210,13530,2020-10-28T23:37:03.000+00:00,2020-10-29T07:15:03.000+00:00,68.43,63,29,-0.8,-0.03,17,62,56,78,25,71,54,238,2535,4889,3838,42840,27840,15600,120,0,0,1.34375,2,85,79,78,89,88,78,100,92,74
2020-10-30,75,86,92,13,86,48,91,90,26040,30180,4140,5610,19890,540,420,86,720,15720,2020-10-29T22:57:58.000+00:00,2020-10-30T07:20:58.000+00:00,71.56,64,18,-0.12,-0.13,16.75,60,60,100,25,40,42,260,2547,5259,4127,40260,31680,13740,720,0,0,1.34375,0,83,65,78,89,91,100,100,89,78
2020-10-31,72,85,96,17,67,51,75,90,25950,33120,7170,6690,18540,720,421,78,330,15750,2020-10-30T22:55:03.000+00:00,2020-10-31T08:07:03.000+00:00,67.98,63,24,0.08,-0.01,16.625,53,79,100,1,1,42,333,2606,7600,5441,31260,24540,16080,1560,60,12900,1.375,0,86,59,79,90,95,98,100,91,100
2020-11-01,77,93,98,50,98,70,70,24,27690,29820,2130,7440,18150,2100,293,93,240,14970,2020-11-01T01:22:38.000+00:00,2020-11-01T09:39:38.000+00:00,72.6,66,14,0.4,0.5,16.875,54,82,100,1,1,45,312,2510,5971,5531,30180,41040,14040,1140,0,0,1.3125,0,77,69,82,93,97,71,82,86,66
2020-11-02,85,91,85,95,95,52,81,100,27150,30060,2910,5220,17640,4290,430,90,480,15030,2020-11-01T22:45:07.000+00:00,2020-11-02T07:06:07.000+00:00,69.54,65,24,0.33,0.48,17.125,58,55,100,1,40,73,523,2871,11650,8683,42720,23460,16260,3960,0,0,1.5,0,89,85,84,97,97,77,99,88,82
2020-11-03,65,48,41,85,96,73,91,56,17340,19140,1800,2580,11310,3450,184,91,1080,9900,2020-11-03T01:42:32.000+00:00,2020-11-03T07:01:32.000+00:00,69.12,64,26,-0.23,0.29,17.25,55,44,95,1,40,68,160,2447,3171,2432,48180,28980,8820,420,0,0,1.28125,1,74,44,73,79,91,97,99,90,42
2020-11-04,82,96,97,50,96,51,67,100,28860,31560,2700,7170,19620,2070,443,91,150,15930,2020-11-03T22:14:45.000+00:00,2020-11-04T07:00:45.000+00:00,73.7,68,16,0.34,0.29,17.75,52,45,78,1,40,59,144,2414,2855,2003,48180,28740,9300,180,0,0,1.28125,2,80,79,78,86,96,75,66,86,75
2020-11-05,87,93,95,96,93,57,75,100,27660,31140,3480,5880,17010,4770,475,89,360,15270,2020-11-04T22:21:32.000+00:00,2020-11-05T07:00:32.000+00:00,69.3,65,34,-0.51,0.06,17.25,62,55,95,1,71,83,480,2781,9901,8112,43260,26160,13200,3660,120,0,1.46875,1,89,89,80,87,100,88,100,92,78
